[I] 2016-05-19 11:31:50.396 - node version is v4.4.2, toolkit version is 1.3.8
[I] 2016-05-19 11:31:50.416 - parse config file E:/code/health-club/src/web/deploy/release.conf
[W] 2016-05-19 11:31:50.438 - DIR_STATIC[E:/code/health-club/src/web/public/res/] not exist
[D] 2016-05-19 11:31:50.499 - loading resource E:/code/health-club/src/web/public/dev-html/common/banner/index.html
[D] 2016-05-19 11:31:50.501 - loading resource E:/code/health-club/src/web/public/dev-html/common/club-twitter/index.html
[D] 2016-05-19 11:31:50.502 - loading resource E:/code/health-club/src/web/public/dev-html/common/teacher-twitter/index.html
[D] 2016-05-19 11:31:50.503 - loading resource E:/code/health-club/src/web/public/dev-html/founder/apply-club/index.html
[D] 2016-05-19 11:31:50.504 - loading resource E:/code/health-club/src/web/public/dev-html/founder/index/index.html
[D] 2016-05-19 11:31:50.505 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/club/index.html
[D] 2016-05-19 11:31:50.507 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/club-member/index.html
[D] 2016-05-19 11:31:50.507 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/club-twitter/index.html
[D] 2016-05-19 11:31:50.508 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-desc/index.html
[D] 2016-05-19 11:31:50.508 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-mobile/index.html
[D] 2016-05-19 11:31:50.509 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-name/index.html
[D] 2016-05-19 11:31:50.509 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/index.html
[D] 2016-05-19 11:31:50.510 - loading resource E:/code/health-club/src/web/public/dev-html/gift/index.html
[D] 2016-05-19 11:31:50.511 - loading resource E:/code/health-club/src/web/public/dev-html/index/index.html
[D] 2016-05-19 11:31:50.512 - loading resource E:/code/health-club/src/web/public/dev-html/layout/index.html
[D] 2016-05-19 11:31:50.512 - loading resource E:/code/health-club/src/web/public/dev-html/member/amazing/index.html
[D] 2016-05-19 11:31:50.513 - loading resource E:/code/health-club/src/web/public/dev-html/member/center/index.html
[D] 2016-05-19 11:31:50.513 - loading resource E:/code/health-club/src/web/public/dev-html/member/index/index.html
[D] 2016-05-19 11:31:50.514 - loading resource E:/code/health-club/src/web/public/dev-html/member/index.html
[D] 2016-05-19 11:31:50.514 - loading resource E:/code/health-club/src/web/public/dev-html/share/club-twitter-detail/index.html
[D] 2016-05-19 11:31:50.515 - loading resource E:/code/health-club/src/web/public/dev-html/share/orders/index.html
[D] 2016-05-19 11:31:50.515 - loading resource E:/code/health-club/src/web/public/dev-html/share/product/index.html
[D] 2016-05-19 11:31:50.516 - loading resource E:/code/health-club/src/web/public/dev-html/share/products/index.html
[D] 2016-05-19 11:31:50.517 - loading resource E:/code/health-club/src/web/public/dev-html/share/teacher-meeting/index.html
[D] 2016-05-19 11:31:50.518 - loading resource E:/code/health-club/src/web/public/dev-html/share/teacher-twitter/index.html
[D] 2016-05-19 11:31:50.519 - loading resource E:/code/health-club/src/web/public/dev-html/thankgiving/index.html
[D] 2016-05-19 11:31:50.549 - parse resource E:/code/health-club/src/web/public/dev-html/app.html
[D] 2016-05-19 11:31:50.570 - find nej module root E:/code/health-club/src/web/public/dev-html/ at E:/code/health-club/src/web/public/dev-html/app.html
[D] 2016-05-19 11:31:50.573 - loading resource E:/code/health-club/src/web/public/style/reset.css
[D] 2016-05-19 11:31:50.574 - loading resource E:/code/health-club/src/web/public/style/main.css
[D] 2016-05-19 11:31:50.575 - loading resource E:/code/health-club/src/web/public/style/weui.css
[D] 2016-05-19 11:31:50.578 - loading resource C:/Users/sks/AppData/Roaming/npm/node_modules/nej/lib/script/nej/define.js
[D] 2016-05-19 11:31:50.579 - loading resource E:/code/health-club/src/web/public/dev-lib/app.js
[D] 2016-05-19 11:31:50.587 - parse resource E:/code/health-club/src/web/public/dev-html/common/banner/index.html
[D] 2016-05-19 11:31:50.594 - parse resource E:/code/health-club/src/web/public/dev-html/common/banner/inline-1463628710251
[D] 2016-05-19 11:31:50.595 - parse resource E:/code/health-club/src/web/public/dev-html/common/banner/inline-1463628710252
[D] 2016-05-19 11:31:50.596 - loading resource E:/code/health-club/src/web/public/dev-html/common/banner/index.js
[D] 2016-05-19 11:31:50.597 - parse resource E:/code/health-club/src/web/public/dev-html/center/index.html
[D] 2016-05-19 11:31:50.603 - parse resource E:/code/health-club/src/web/public/dev-html/center/inline-1463628710253
[D] 2016-05-19 11:31:50.603 - parse resource E:/code/health-club/src/web/public/dev-html/center/inline-1463628710254
[D] 2016-05-19 11:31:50.604 - loading resource E:/code/health-club/src/web/public/dev-html/center/index.js
[D] 2016-05-19 11:31:50.604 - parse resource E:/code/health-club/src/web/public/dev-html/common/club-twitter/index.html
[D] 2016-05-19 11:31:50.608 - parse resource E:/code/health-club/src/web/public/dev-html/common/club-twitter/inline-1463628710255
[D] 2016-05-19 11:31:50.609 - parse resource E:/code/health-club/src/web/public/dev-html/common/club-twitter/inline-1463628710256
[D] 2016-05-19 11:31:50.610 - loading resource E:/code/health-club/src/web/public/dev-html/common/club-twitter/index.js
[D] 2016-05-19 11:31:50.610 - parse resource E:/code/health-club/src/web/public/dev-html/founder/apply-club/index.html
[D] 2016-05-19 11:31:50.617 - parse resource E:/code/health-club/src/web/public/dev-html/founder/apply-club/inline-1463628710257
[D] 2016-05-19 11:31:50.618 - parse resource E:/code/health-club/src/web/public/dev-html/founder/apply-club/inline-1463628710258
[D] 2016-05-19 11:31:50.618 - loading resource E:/code/health-club/src/web/public/dev-lib/vendor/layer.js
[D] 2016-05-19 11:31:50.619 - loading resource E:/code/health-club/src/web/public/dev-html/founder/apply-club/index.js
[D] 2016-05-19 11:31:50.619 - parse resource E:/code/health-club/src/web/public/dev-html/founder/index/index.html
[D] 2016-05-19 11:31:50.634 - parse resource E:/code/health-club/src/web/public/dev-html/founder/index/inline-1463628710259
[D] 2016-05-19 11:31:50.635 - parse resource E:/code/health-club/src/web/public/dev-html/founder/index/inline-1463628710260
[D] 2016-05-19 11:31:50.635 - parse resource E:/code/health-club/src/web/public/dev-html/founder/index/inline-1463628710261
[D] 2016-05-19 11:31:50.636 - loading resource E:/code/health-club/src/web/public/dev-html/founder/index/index.js
[D] 2016-05-19 11:31:50.637 - parse resource E:/code/health-club/src/web/public/dev-html/common/teacher-twitter/index.html
[D] 2016-05-19 11:31:50.640 - parse resource E:/code/health-club/src/web/public/dev-html/common/teacher-twitter/inline-1463628710262
[D] 2016-05-19 11:31:50.641 - parse resource E:/code/health-club/src/web/public/dev-html/common/teacher-twitter/inline-1463628710263
[D] 2016-05-19 11:31:50.642 - loading resource E:/code/health-club/src/web/public/dev-html/common/teacher-twitter/index.js
[D] 2016-05-19 11:31:50.642 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club/index.html
[D] 2016-05-19 11:31:50.651 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club/inline-1463628710264
[D] 2016-05-19 11:31:50.652 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club/inline-1463628710265
[D] 2016-05-19 11:31:50.653 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/club/index.js
[D] 2016-05-19 11:31:50.654 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club-member/index.html
[D] 2016-05-19 11:31:50.659 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club-member/inline-1463628710266
[D] 2016-05-19 11:31:50.661 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club-member/inline-1463628710267
[D] 2016-05-19 11:31:50.663 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/club-member/index.js
[D] 2016-05-19 11:31:50.664 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club-twitter/index.html
[D] 2016-05-19 11:31:50.668 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club-twitter/inline-1463628710268
[D] 2016-05-19 11:31:50.669 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/club-twitter/inline-1463628710269
[D] 2016-05-19 11:31:50.670 - loading resource E:/code/health-club/src/web/public/dev-lib/vendor/zepto.js
[D] 2016-05-19 11:31:50.671 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/club-twitter/index.js
[D] 2016-05-19 11:31:50.672 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-desc/index.html
[D] 2016-05-19 11:31:50.676 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-desc/inline-1463628710270
[D] 2016-05-19 11:31:50.677 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-desc/inline-1463628710271
[D] 2016-05-19 11:31:50.677 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-desc/index.js
[D] 2016-05-19 11:31:50.678 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/index.html
[D] 2016-05-19 11:31:50.679 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/inline-1463628710272
[D] 2016-05-19 11:31:50.680 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/index.js
[D] 2016-05-19 11:31:50.680 - parse resource E:/code/health-club/src/web/public/dev-html/gift/index.html
[D] 2016-05-19 11:31:50.683 - parse resource E:/code/health-club/src/web/public/dev-html/gift/inline-1463628710273
[D] 2016-05-19 11:31:50.683 - parse resource E:/code/health-club/src/web/public/dev-html/gift/inline-1463628710274
[D] 2016-05-19 11:31:50.684 - loading resource E:/code/health-club/src/web/public/dev-html/gift/index.js
[D] 2016-05-19 11:31:50.684 - parse resource E:/code/health-club/src/web/public/dev-html/index/index.html
[D] 2016-05-19 11:31:50.685 - parse resource E:/code/health-club/src/web/public/dev-html/index/inline-1463628710275
[D] 2016-05-19 11:31:50.686 - loading resource E:/code/health-club/src/web/public/dev-html/index/index.js
[D] 2016-05-19 11:31:50.687 - parse resource E:/code/health-club/src/web/public/dev-html/layout/index.html
[D] 2016-05-19 11:31:50.689 - parse resource E:/code/health-club/src/web/public/dev-html/layout/inline-1463628710276
[D] 2016-05-19 11:31:50.690 - loading resource E:/code/health-club/src/web/public/dev-html/layout/index.js
[D] 2016-05-19 11:31:50.691 - parse resource E:/code/health-club/src/web/public/dev-html/member/amazing/index.html
[D] 2016-05-19 11:31:50.698 - parse resource E:/code/health-club/src/web/public/dev-html/member/amazing/inline-1463628710277
[D] 2016-05-19 11:31:50.699 - parse resource E:/code/health-club/src/web/public/dev-html/member/amazing/inline-1463628710278
[D] 2016-05-19 11:31:50.700 - loading resource E:/code/health-club/src/web/public/dev-html/member/amazing/index.js
[D] 2016-05-19 11:31:50.700 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-mobile/index.html
[D] 2016-05-19 11:31:50.704 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-mobile/inline-1463628710279
[D] 2016-05-19 11:31:50.704 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-mobile/inline-1463628710280
[D] 2016-05-19 11:31:50.706 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-mobile/index.js
[D] 2016-05-19 11:31:50.706 - parse resource E:/code/health-club/src/web/public/dev-html/member/index/index.html
[D] 2016-05-19 11:31:50.715 - parse resource E:/code/health-club/src/web/public/dev-html/member/index/inline-1463628710281
[D] 2016-05-19 11:31:50.715 - parse resource E:/code/health-club/src/web/public/dev-html/member/index/inline-1463628710282
[D] 2016-05-19 11:31:50.716 - parse resource E:/code/health-club/src/web/public/dev-html/member/index/inline-1463628710283
[D] 2016-05-19 11:31:50.718 - loading resource E:/code/health-club/src/web/public/dev-html/member/index/index.js
[D] 2016-05-19 11:31:50.718 - parse resource E:/code/health-club/src/web/public/dev-html/member/index.html
[D] 2016-05-19 11:31:50.720 - parse resource E:/code/health-club/src/web/public/dev-html/member/inline-1463628710284
[D] 2016-05-19 11:31:50.720 - loading resource E:/code/health-club/src/web/public/dev-html/member/index.js
[D] 2016-05-19 11:31:50.720 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-name/index.html
[D] 2016-05-19 11:31:50.729 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-name/inline-1463628710285
[D] 2016-05-19 11:31:50.730 - parse resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-name/inline-1463628710286
[D] 2016-05-19 11:31:50.731 - loading resource E:/code/health-club/src/web/public/dev-html/founder/my/edit-name/index.js
[D] 2016-05-19 11:31:50.732 - parse resource E:/code/health-club/src/web/public/dev-html/member/center/index.html
[D] 2016-05-19 11:31:50.736 - parse resource E:/code/health-club/src/web/public/dev-html/member/center/inline-1463628710287
[D] 2016-05-19 11:31:50.736 - parse resource E:/code/health-club/src/web/public/dev-html/member/center/inline-1463628710288
[D] 2016-05-19 11:31:50.737 - loading resource E:/code/health-club/src/web/public/dev-html/member/center/index.js
[D] 2016-05-19 11:31:50.737 - parse resource E:/code/health-club/src/web/public/dev-html/share/orders/index.html
[D] 2016-05-19 11:31:50.748 - parse resource E:/code/health-club/src/web/public/dev-html/share/orders/inline-1463628710289
[D] 2016-05-19 11:31:50.749 - parse resource E:/code/health-club/src/web/public/dev-html/share/orders/inline-1463628710290
[D] 2016-05-19 11:31:50.750 - loading resource E:/code/health-club/src/web/public/dev-html/share/orders/index.js
[D] 2016-05-19 11:31:50.751 - parse resource E:/code/health-club/src/web/public/dev-html/share/product/index.html
[D] 2016-05-19 11:31:50.757 - parse resource E:/code/health-club/src/web/public/dev-html/share/product/inline-1463628710291
[D] 2016-05-19 11:31:50.762 - parse resource E:/code/health-club/src/web/public/dev-html/share/product/inline-1463628710292
[D] 2016-05-19 11:31:50.763 - loading resource E:/code/health-club/src/web/public/dev-html/share/product/index.js
[D] 2016-05-19 11:31:50.765 - parse resource E:/code/health-club/src/web/public/dev-html/share/products/index.html
[D] 2016-05-19 11:31:50.775 - parse resource E:/code/health-club/src/web/public/dev-html/share/products/inline-1463628710293
[D] 2016-05-19 11:31:50.775 - parse resource E:/code/health-club/src/web/public/dev-html/share/products/inline-1463628710294
[D] 2016-05-19 11:31:50.776 - loading resource E:/code/health-club/src/web/public/dev-html/share/products/index.js
[D] 2016-05-19 11:31:50.777 - parse resource E:/code/health-club/src/web/public/dev-html/thankgiving/index.html
[D] 2016-05-19 11:31:50.793 - parse resource E:/code/health-club/src/web/public/dev-html/thankgiving/inline-1463628710295
[D] 2016-05-19 11:31:50.794 - parse resource E:/code/health-club/src/web/public/dev-html/thankgiving/inline-1463628710296
[D] 2016-05-19 11:31:50.799 - parse resource E:/code/health-club/src/web/public/dev-html/thankgiving/inline-1463628710297
[D] 2016-05-19 11:31:50.803 - parse resource E:/code/health-club/src/web/public/dev-html/thankgiving/inline-1463628710298
[D] 2016-05-19 11:31:50.804 - loading resource E:/code/health-club/src/web/public/dev-lib/vendor/jquery.js
[D] 2016-05-19 11:31:50.805 - loading resource E:/code/health-club/src/web/public/dev-lib/vendor/jquery.SuperSlide.2.1.1.js
[D] 2016-05-19 11:31:50.806 - loading resource E:/code/health-club/src/web/public/dev-lib/vendor/TouchSlide.1.1.js
[D] 2016-05-19 11:31:50.807 - loading resource E:/code/health-club/src/web/public/dev-html/thankgiving/index.js
[D] 2016-05-19 11:31:50.808 - parse resource E:/code/health-club/src/web/public/dev-html/share/teacher-meeting/index.html
[D] 2016-05-19 11:31:50.812 - parse resource E:/code/health-club/src/web/public/dev-html/share/teacher-meeting/inline-1463628710299
[D] 2016-05-19 11:31:50.812 - parse resource E:/code/health-club/src/web/public/dev-html/share/teacher-meeting/inline-1463628710300
[D] 2016-05-19 11:31:50.813 - loading resource E:/code/health-club/src/web/public/dev-html/share/teacher-meeting/index.js
[D] 2016-05-19 11:31:50.815 - parse resource E:/code/health-club/src/web/public/dev-html/share/teacher-twitter/index.html
[D] 2016-05-19 11:31:50.819 - parse resource E:/code/health-club/src/web/public/dev-html/share/teacher-twitter/inline-1463628710301
[D] 2016-05-19 11:31:50.819 - parse resource E:/code/health-club/src/web/public/dev-html/share/teacher-twitter/inline-1463628710302
[D] 2016-05-19 11:31:50.820 - loading resource E:/code/health-club/src/web/public/dev-html/share/teacher-twitter/index.js
[D] 2016-05-19 11:31:50.820 - parse resource E:/code/health-club/src/web/public/dev-html/share/club-twitter-detail/index.html
[D] 2016-05-19 11:31:50.824 - parse resource E:/code/health-club/src/web/public/dev-html/share/club-twitter-detail/inline-1463628710303
[D] 2016-05-19 11:31:50.825 - parse resource E:/code/health-club/src/web/public/dev-html/share/club-twitter-detail/inline-1463628710304
[D] 2016-05-19 11:31:50.826 - loading resource E:/code/health-club/src/web/public/dev-html/share/club-twitter-detail/index.js
[D] 2016-05-19 11:31:50.868 - parse resource E:/code/health-club/src/web/public/style/main.css
[W] 2016-05-19 11:31:50.940 - E:/code/health-club/src/web/public/images/i-right.png is not in DIR_STATIC[E:/code/health-club/src/web/public/style/main.css]
[D] 2016-05-19 11:31:50.941 - find resource E:/code/health-club/src/web/public/images/i-right.png in file E:/code/health-club/src/web/public/style/main.css
[W] 2016-05-19 11:31:50.942 - E:/code/health-club/src/web/public/images/ge_05.png is not in DIR_STATIC[E:/code/health-club/src/web/public/style/main.css]
[D] 2016-05-19 11:31:50.943 - find resource E:/code/health-club/src/web/public/images/ge_05.png in file E:/code/health-club/src/web/public/style/main.css
[W] 2016-05-19 11:31:50.944 - E:/code/health-club/src/web/public/images/ge_12.png is not in DIR_STATIC[E:/code/health-club/src/web/public/style/main.css]
[D] 2016-05-19 11:31:50.944 - find resource E:/code/health-club/src/web/public/images/ge_12.png in file E:/code/health-club/src/web/public/style/main.css
[W] 2016-05-19 11:31:50.945 - E:/code/health-club/src/web/public/images/ge_14.png is not in DIR_STATIC[E:/code/health-club/src/web/public/style/main.css]
[D] 2016-05-19 11:31:50.945 - find resource E:/code/health-club/src/web/public/images/ge_14.png in file E:/code/health-club/src/web/public/style/main.css
[W] 2016-05-19 11:31:50.946 - E:/code/health-club/src/web/public/images/bwygn.png is not in DIR_STATIC[E:/code/health-club/src/web/public/style/main.css]
[D] 2016-05-19 11:31:50.946 - find resource E:/code/health-club/src/web/public/images/bwygn.png in file E:/code/health-club/src/web/public/style/main.css
[W] 2016-05-19 11:31:50.947 - resource E:/code/health-club/src/web/public/style/images/ge_05.png in file E:/code/health-club/src/web/public/style/main.css not exist
[D] 2016-05-19 11:31:50.951 - parse resource C:/Users/sks/AppData/Roaming/npm/node_modules/nej/lib/script/nej/define.js
[D] 2016-05-19 11:31:50.952 - parse resource E:/code/health-club/src/web/public/dev-lib/app.js
[D] 2016-05-19 11:31:50.960 - cache nej dependency E:/code/health-club/src/web/public/dev-lib/app.js -> ["C:/Users/sks/AppData/Roaming/npm/node_modules/nej/lib/script/nej/define.js",{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/dispatcher/dispatcher.js"}]
[D] 2016-05-19 11:31:50.962 - loading resource E:/code/health-club/src/web/public/dev-lib/nej/src/util/dispatcher/dispatcher.js
[D] 2016-05-19 11:31:50.963 - parse resource E:/code/health-club/src/web/public/style/reset.css
[D] 2016-05-19 11:31:50.974 - parse resource E:/code/health-club/src/web/public/dev-html/common/banner/index.js
[D] 2016-05-19 11:31:50.980 - cache nej dependency E:/code/health-club/src/web/public/dev-html/common/banner/index.js -> ["C:/Users/sks/AppData/Roaming/npm/node_modules/nej/lib/script/nej/define.js",{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/klass.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/element.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/tpl.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/base/module.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/jst.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/ajax/xdr.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/cache/list.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/vendor/zepto.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/vendor/frozen.js"}]
[D] 2016-05-19 11:31:50.984 - loading resource E:/code/health-club/src/web/public/dev-lib/nej/src/base/klass.js
[D] 2016-05-19 11:31:50.985 - loading resource E:/code/health-club/src/web/public/dev-lib/nej/src/base/element.js
[D] 2016-05-19 11:31:50.985 - loading resource E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/tpl.js
[D] 2016-05-19 11:31:50.986 - loading resource E:/code/health-club/src/web/public/dev-lib/base/module.js
[D] 2016-05-19 11:31:50.988 - loading resource E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/jst.js
[D] 2016-05-19 11:31:50.990 - loading resource E:/code/health-club/src/web/public/dev-lib/nej/src/util/ajax/xdr.js
[D] 2016-05-19 11:31:50.991 - loading resource E:/code/health-club/src/web/public/dev-lib/nej/src/util/cache/list.js
[D] 2016-05-19 11:31:50.992 - loading resource E:/code/health-club/src/web/public/dev-lib/vendor/frozen.js
[D] 2016-05-19 11:31:50.993 - parse resource E:/code/health-club/src/web/public/dev-html/center/index.js
[D] 2016-05-19 11:31:50.997 - cache nej dependency E:/code/health-club/src/web/public/dev-html/center/index.js -> ["C:/Users/sks/AppData/Roaming/npm/node_modules/nej/lib/script/nej/define.js",{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/klass.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/element.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/tpl.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/base/module.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/jst.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/base/msg.html","plugin":"text"}]
[D] 2016-05-19 11:31:51.000 - loading resource E:/code/health-club/src/web/public/dev-lib/base/msg.html
[D] 2016-05-19 11:31:51.002 - parse resource E:/code/health-club/src/web/public/dev-html/common/club-twitter/index.js
[D] 2016-05-19 11:31:51.005 - cache nej dependency E:/code/health-club/src/web/public/dev-html/common/club-twitter/index.js -> ["C:/Users/sks/AppData/Roaming/npm/node_modules/nej/lib/script/nej/define.js",{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/klass.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/element.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/tpl.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/base/module.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/jst.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/ajax/xdr.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/cache/club_news.js"}]
[D] 2016-05-19 11:31:51.011 - loading resource E:/code/health-club/src/web/public/dev-lib/cache/club_news.js
[D] 2016-05-19 11:31:51.011 - parse resource E:/code/health-club/src/web/public/dev-html/founder/apply-club/index.js
[D] 2016-05-19 11:31:51.015 - cache nej dependency E:/code/health-club/src/web/public/dev-html/founder/apply-club/index.js -> ["C:/Users/sks/AppData/Roaming/npm/node_modules/nej/lib/script/nej/define.js",{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/klass.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/element.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/base/event.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/tpl.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/base/module.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/template/jst.js"},{"uri":"E:/code/health-club/src/web/public/dev-lib/nej/src/util/ajax/xdr.js"}]
